STATE,DISTRICT,BLOCK,70-90 mts,90-110 mts,110-130 mts,130-150 mts,GREATER THAN 150 mts,TOTAL
TAMIL NADU,VILLUPPURAM,THIRUNAVALUR,415,23,1,0,0,439
TAMIL NADU,VILLUPPURAM,THIRUVENNAINALLUR,1202,0,0,0,0,1202
TAMIL NADU,VILLUPPURAM,THIYAGADHURGAM,2,0,0,0,0,2
TAMIL NADU,VILLUPPURAM,ULUNDURPET,51,0,0,0,0,51
TAMIL NADU,VILLUPPURAM,VAANOOR,807,173,323,51,124,1478
TAMIL NADU,VILLUPPURAM,VALLAM,47,30,63,19,1,160
TAMIL NADU,VILLUPPURAM,VIKKIRAVANDI,215,0,0,37,5,257
TAMIL NADU,VIRUDHUNAGAR,ARUPPUKOTTAI,24,0,0,0,0,24
TAMIL NADU,VIRUDHUNAGAR,KARIAPATTI,68,0,0,0,0,68
TAMIL NADU,VIRUDHUNAGAR,NARIKUDI,1,1,0,1,0,3
TAMIL NADU,VIRUDHUNAGAR,RAJAPALAYAM,15,0,0,0,0,15
TAMIL NADU,VIRUDHUNAGAR,SATTUR,8,1,0,0,0,9
TAMIL NADU,VIRUDHUNAGAR,SIVAKASI,1,0,0,0,0,1
TAMIL NADU,VIRUDHUNAGAR,SRIVILLIPUTUR,15,1,1,0,1,18
TAMIL NADU,VIRUDHUNAGAR,TIRUCHULI,14,2,0,0,0,16
TAMIL NADU,VIRUDHUNAGAR,VEMBAKKOTTAI,0,1,0,0,0,1
TAMIL NADU,VIRUDHUNAGAR,VIRUDHUNAGAR,25,1,0,0,2,28
TAMIL NADU,VIRUDHUNAGAR,WATRAP,76,0,0,67,2,145
TRIPURA,DHALAI,AMBASSA,0,1,0,0,0,1
TRIPURA,NORTH TRIPURA,GOURNAGAR,0,2,0,0,0,2
TRIPURA,NORTH TRIPURA,KADAMTALA,0,4,0,0,0,4
TRIPURA,NORTH TRIPURA,KUMARGHAT,0,1,0,0,0,1
TRIPURA,NORTH TRIPURA,PANISAGAR,0,1,0,0,0,1
TRIPURA,SOUTH TRIPURA,BAGAFA,0,3,0,0,0,3
TRIPURA,SOUTH TRIPURA,HRISHYAMUKH,0,1,0,0,0,1
TRIPURA,SOUTH TRIPURA,KAKRABAN,0,7,0,0,0,7
TRIPURA,SOUTH TRIPURA,MATABARI,0,9,0,0,0,9
TRIPURA,SOUTH TRIPURA,RAJNAGAR,0,5,0,0,0,5
TRIPURA,SOUTH TRIPURA,RUPAICHARI,0,1,0,0,0,1
TRIPURA,SOUTH TRIPURA,SATCHAND,0,1,0,0,0,1
